FECHA_VACUNACION,ASTRAZENECA,PFIZER,SINOPHARM
2021-07-29,741071,10266212,2098716
2021-07-30,743671,10392241,2135245
2021-07-31,745591,10623204,2177019
2021-08-01,746439,10812770,2194732
2021-08-02,748379,10936390,2217397
2021-08-03,750824,11039235,2251408
2021-08-04,752962,11148119,2301048
2021-08-05,755579,11256533,2361660
2021-08-06,758035,11366955,2532663
2021-08-07,761291,11539908,2851298
2021-08-08,763820,11697782,3051533
2021-08-09,766592,11742578,3109571
2021-08-10,773838,11791355,3177065
2021-08-11,779611,11848413,3233333
2021-08-12,784612,11899647,3294328
2021-08-13,789743,11941552,3364266
2021-08-14,794226,12097385,3436990
2021-08-15,795871,12251861,3476614
2021-08-16,800747,12284495,3518937
2021-08-17,806975,12308967,3588868
2021-08-18,814004,12327785,3652034
2021-08-19,819291,12348297,3727732
2021-08-20,826822,12383889,3834758
2021-08-21,835609,12504825,4020720
2021-08-22,845304,12586914,4159764
2021-08-23,853246,12620506,4198716
2021-08-24,861654,12642251,4245155
2021-08-25,865929,12673528,4300332
2021-08-26,868911,12700472,4376366
2021-08-27,871503,12762118,4484441
2021-08-28,875098,12894048,4808963
2021-08-29,877227,13006488,5099207
2021-08-30,879644,13011192,5109795
2021-08-31,882728,13035348,5201168
2021-09-01,884861,13064061,5314602
2021-09-02,886645,13118182,5442069
2021-09-03,888108,13193030,5578831
2021-09-04,889604,13283176,5848660
2021-09-05,891108,13328827,6070522
2021-09-06,892745,13361129,6176859
2021-09-07,899136,13407461,6336281
2021-09-08,905864,13498493,6589758
2021-09-09,907853,13614561,6819461
2021-09-10,911041,13760174,7082704
2021-09-11,913758,14003956,7436457
2021-09-12,915932,14188339,7738064
2021-09-13,917178,14256641,7877733
2021-09-14,918251,14392585,8041193
2021-09-15,920134,14462855,8221303
2021-09-16,930385,14573987,8434985
2021-09-17,944638,14670023,8630972
2021-09-18,959147,14787221,8987515
2021-09-19,969408,14862047,9204174
2021-09-20,983111,14887480,9295236
2021-09-21,1001114,14930777,9433026
2021-09-22,1018956,14959799,9559101
2021-09-23,1033716,14986756,9685038
2021-09-24,1048562,15040415,9811796
2021-09-25,1073387,15156787,10078451
