FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3
2021-09-09,297822,49938,0
2021-09-10,337531,74513,0
2021-09-11,481965,118287,0
2021-09-12,364932,123232,0
2021-09-13,170541,38676,0
2021-09-14,260057,40420,0
2021-09-15,199136,53127,0
2021-09-16,261621,73444,0
2021-09-17,253333,52943,0
2021-09-18,330588,157662,0
2021-09-19,186890,114856,0
2021-09-20,84844,45354,0
2021-09-21,118008,81082,0
2021-09-22,104194,68745,0
2021-09-23,93840,73814,0
2021-09-24,101185,94078,0
2021-09-25,158595,249257,0
2021-09-26,123808,201185,0
2021-09-27,97499,107438,0
2021-09-28,109605,127213,0
2021-09-29,102558,205029,0
2021-09-30,95439,216366,0
2021-10-01,86338,196395,0
2021-10-02,174308,394448,0
2021-10-03,150987,327053,0
2021-10-04,72718,190125,0
2021-10-05,73390,219046,0
2021-10-06,73687,203801,0
2021-10-07,69000,198537,0
2021-10-08,56735,150051,0
2021-10-09,93872,277910,0
2021-10-10,63641,174783,0
2021-10-11,62882,114912,0
2021-10-12,114475,123748,0
2021-10-13,108967,116646,0
2021-10-14,106048,117525,0
2021-10-15,108492,109265,20290
2021-10-16,175443,144106,25111
2021-10-17,155526,119050,10904
2021-10-18,91583,85302,26781
2021-10-19,74690,101858,25665
2021-10-20,56458,96623,25208
2021-10-21,56189,91534,16802
2021-10-22,47785,86135,15334
2021-10-23,105481,142959,7105
2021-10-24,73513,123923,2105
2021-10-25,39715,74270,6874
2021-10-26,37272,72415,6115
2021-10-27,36936,68582,5610
2021-10-28,43586,68665,11137
2021-10-29,46287,63145,14863
2021-10-30,205014,81154,14014
2021-10-31,174187,67948,8738
2021-11-01,70648,23449,4197
2021-11-02,87497,34368,6438
2021-11-03,103555,48203,9348
2021-11-04,165293,58638,9534
2021-11-05,217001,56723,8566
2021-11-06,297565,97538,8394
2021-11-07,202748,89424,5692
2021-11-08,111975,70974,6676
2021-11-09,102571,92179,9696
2021-11-10,96290,75212,14323
2021-11-11,79598,70697,17284
2021-11-12,58528,50467,11133
2021-11-13,54103,64327,7351
