FECHA,18-59,60-69,70-79,80+
2021-07-16,142,65,98,162
2021-07-17,124,70,94,147
2021-07-18,115,65,97,154
2021-07-19,134,70,88,156
2021-07-20,143,73,109,136
2021-07-21,116,64,96,160
2021-07-22,138,59,75,151
2021-07-23,130,66,74,172
2021-07-24,143,74,82,143
2021-07-25,142,62,88,131
2021-07-26,126,60,81,189
2021-07-27,120,79,99,144
2021-07-28,128,90,78,134
2021-07-29,131,53,70,141
2021-07-30,109,71,96,153
2021-07-31,120,64,91,172
2021-08-01,120,74,70,147
2021-08-02,141,79,103,152
2021-08-03,105,68,83,145
2021-08-04,108,70,72,135
2021-08-05,100,68,74,169
2021-08-06,106,70,93,130
2021-08-07,114,64,87,150
2021-08-08,128,66,84,143
2021-08-09,118,63,81,140
2021-08-10,131,80,80,160
2021-08-11,137,57,81,138
2021-08-12,110,70,84,156
2021-08-13,130,71,94,158
2021-08-14,102,57,83,151
2021-08-15,118,62,81,142
2021-08-16,125,68,87,138
2021-08-17,118,58,76,132
2021-08-18,115,50,84,143
2021-08-19,102,62,72,135
2021-08-20,96,61,78,148
2021-08-21,115,68,83,159
2021-08-22,109,73,81,144
2021-08-23,115,54,75,167
2021-08-24,113,61,77,153
2021-08-25,105,64,87,179
2021-08-26,96,55,89,148
2021-08-27,122,62,70,163
2021-08-28,108,68,81,176
2021-08-29,121,68,88,155
2021-08-30,119,62,70,153
2021-08-31,134,63,90,130
2021-09-01,101,76,82,151
2021-09-02,90,53,101,142
2021-09-03,102,55,55,167
2021-09-04,96,77,86,164
2021-09-05,107,71,83,140
2021-09-06,87,56,88,147
2021-09-07,93,54,65,152
2021-09-08,108,57,77,164
2021-09-09,103,61,89,149
2021-09-10,107,57,78,140
2021-09-11,95,59,91,138
2021-09-12,114,70,70,161
2021-09-13,99,50,97,159
2021-09-14,95,49,81,174
2021-09-15,91,68,66,144
2021-09-16,103,51,70,160
2021-09-17,96,49,85,130
2021-09-18,101,58,89,147
2021-09-19,105,57,82,163
2021-09-20,119,61,87,155
2021-09-21,92,63,83,161
2021-09-22,96,66,66,158
2021-09-23,101,50,81,156
2021-09-24,115,69,68,168
2021-09-25,110,46,74,150
2021-09-26,122,59,72,148
2021-09-27,119,61,83,152
2021-09-28,110,58,87,151
2021-09-29,112,53,79,142
2021-09-30,91,53,63,130
2021-10-01,93,60,78,157
2021-10-02,103,53,86,139
2021-10-03,108,54,77,167
2021-10-04,120,51,87,158
2021-10-05,88,84,84,123
2021-10-06,99,65,93,149
2021-10-07,93,56,70,171
2021-10-08,114,55,75,151
2021-10-09,104,57,81,141
2021-10-10,120,73,85,155
2021-10-11,105,56,82,131
2021-10-12,107,52,78,153
2021-10-13,98,49,84,142
2021-10-14,110,63,77,151
2021-10-15,86,75,88,149
2021-10-16,105,63,97,154
2021-10-17,91,62,92,137
2021-10-18,107,63,78,165
2021-10-19,91,67,65,143
2021-10-20,98,59,79,142
2021-10-21,87,56,82,150
2021-10-22,85,54,87,151
2021-10-23,106,49,101,131
2021-10-24,106,66,72,167
2021-10-25,97,68,82,134
2021-10-26,79,53,83,139
2021-10-27,102,67,77,149
2021-10-28,96,55,73,138
2021-10-29,108,61,91,140
2021-10-30,103,55,88,124
2021-10-31,99,56,70,145
2021-11-01,122,56,94,161
2021-11-02,88,57,88,151
2021-11-03,93,69,96,125
2021-11-04,93,60,87,161
2021-11-05,112,61,83,155
2021-11-06,89,46,82,139
2021-11-07,98,62,96,141
2021-11-08,98,64,72,137
2021-11-09,94,46,83,160
2021-11-10,95,74,70,155
2021-11-11,110,41,75,130
2021-11-12,98,61,85,131
2021-11-13,94,58,72,147
2021-11-14,116,58,76,145
2021-11-15,106,55,80,141
2021-11-16,89,51,68,126
2021-11-17,98,62,81,144
2021-11-18,94,73,83,143
2021-11-19,88,52,74,131
2021-11-20,91,51,65,168
2021-11-21,80,56,85,152
2021-11-22,98,60,100,133
2021-11-23,96,59,82,169
2021-11-24,84,74,81,130
2021-11-25,86,57,88,125
2021-11-26,94,48,85,141
2021-11-27,87,56,87,137
2021-11-28,114,68,82,136
2021-11-29,113,68,73,157
2021-11-30,83,67,85,138
2021-12-01,93,64,83,153
2021-12-02,88,66,73,153
2021-12-03,88,58,86,144
2021-12-04,86,48,87,143
2021-12-05,88,46,72,150
2021-12-06,45,32,56,107
