DEPARTAMENTO,DOSIS1,DOSIS2,DOSIS3,DOSIS4,POBLACION,INDICE2
AMAZONAS,296504,276346,208114,48221,381935,72354
ANCASH,953410,939940,840787,323106,1043294,90093
APURIMAC,368072,349997,273454,55661,385220,90856
AREQUIPA,1228014,1180456,944150,180162,1312448,89943
AYACUCHO,505084,467348,323706,55673,571423,81787
CAJAMARCA,1114717,1057744,734740,132575,1325736,79785
CALLAO,915621,904701,814576,285843,955873,94647
CUSCO,1063484,1009392,762264,136831,1214687,83099
HUANCAVELICA,274123,253819,175401,33141,362867,69948
HUANUCO,606734,571948,458274,104769,711285,80411
ICA,790018,773789,706571,241466,768555,100681
JUNIN,1062733,1023301,837426,198207,1167696,87634
LA LIBERTAD,1574654,1530189,1274946,319108,1695977,90225
LAMBAYEQUE,1034941,1009547,857066,211365,1150472,87751
LIMA,9351863,9113513,7871674,2342201,9501334,95918
LORETO,709726,648195,480572,115364,902747,71803
MADRE DE DIOS,143018,124429,80359,13587,143868,86488
MOQUEGUA,162335,158146,135261,32306,170284,92872
PASCO,208282,201934,163027,48120,245243,82340
PIURA,1547375,1499816,1233763,288464,1685936,88960
PUNO,905312,832292,549961,64505,1076258,77332
SAN MARTIN,660768,623318,451503,95560,784828,79421
TACNA,291061,276290,210560,44009,325369,84916
TUMBES,205615,191189,158333,43492,201573,94849
UCAYALI,439389,405419,303473,59839,494500,81986
