FECHA_VACUNACION,ASTRAZENECA,JANSSEN,MODERNA,PFIZER,SINOPHARM
2021-02-24,367,8,1,311,285716
2021-02-25,367,8,1,321,301525
2021-02-26,367,8,1,323,317163
2021-02-27,367,8,1,374,323930
2021-02-28,367,8,2,417,324930
2021-03-01,369,8,2,445,334224
2021-03-02,369,8,2,464,343511
2021-03-03,370,8,2,503,361949
2021-03-04,370,8,2,529,394961
2021-03-05,370,8,2,543,431921
2021-03-06,370,8,2,559,451949
2021-03-07,370,8,2,584,454545
2021-03-08,371,8,2,15282,470515
2021-03-09,371,8,2,30994,481934
2021-03-10,374,8,2,39840,491140
2021-03-11,380,8,2,43705,501753
2021-03-12,382,8,2,47554,524438
2021-03-13,382,8,2,50846,556893
2021-03-14,382,8,2,51274,559905
2021-03-15,382,8,2,66423,592751
2021-03-16,382,8,2,87207,619600
2021-03-17,382,8,2,108092,645586
2021-03-18,383,8,2,132896,663634
2021-03-19,384,8,2,156875,681165
2021-03-20,384,8,2,174009,688609
2021-03-21,384,8,2,174646,689691
2021-03-22,385,8,2,181209,700603
2021-03-23,385,8,2,195700,711068
2021-03-24,385,8,2,208928,719923
2021-03-25,385,8,2,220589,726045
2021-03-26,387,8,2,235266,732774
2021-03-27,387,8,2,245054,737407
2021-03-28,387,8,2,246925,737844
2021-03-29,387,8,2,258173,744016
2021-03-30,389,8,2,276884,751946
2021-03-31,389,8,2,291528,762596
2021-04-01,394,8,2,295166,765760
2021-04-02,399,8,2,297893,767034
2021-04-03,403,8,2,302813,771022
2021-04-04,403,8,2,303325,772124
2021-04-05,405,8,2,307207,784845
2021-04-06,405,8,2,320761,801744
2021-04-07,406,8,2,335820,817602
2021-04-08,409,8,2,366665,832585
2021-04-09,410,8,2,385039,849266
2021-04-10,412,8,2,393704,853637
2021-04-11,412,8,2,393746,853710
2021-04-12,415,8,2,405622,855997
2021-04-13,418,8,2,425631,858019
2021-04-14,423,8,2,446497,860589
2021-04-15,425,8,2,468282,862228
2021-04-16,427,8,2,506999,865097
2021-04-17,433,8,2,549350,867036
2021-04-18,434,8,2,580295,867201
2021-04-19,434,8,2,589798,868689
2021-04-20,447,8,2,603836,871073
2021-04-21,452,8,2,617587,877490
2021-04-22,1417,8,2,625187,879705
2021-04-23,2083,8,2,651794,881455
2021-04-24,3248,8,2,677897,884348
2021-04-25,3258,8,2,693015,884921
2021-04-26,11808,8,2,699362,889908
2021-04-27,24036,8,2,706122,901491
2021-04-28,41420,8,2,726686,914948
2021-04-29,62720,8,2,748678,929305
2021-04-30,82265,8,2,810762,947301
2021-05-01,88950,8,2,867679,949877
2021-05-02,90947,8,2,913039,951628
2021-05-03,102174,8,2,962440,955452
2021-05-04,111523,8,2,976356,956589
2021-05-05,120908,8,2,988827,959861
2021-05-06,129855,8,2,1019737,961330
2021-05-07,138374,8,2,1058854,962065
2021-05-08,142777,8,2,1138164,962298
2021-05-09,143444,8,2,1196344,962319
2021-05-10,147598,8,2,1247857,963266
2021-05-11,153072,8,2,1297051,963961
2021-05-12,165649,8,2,1352237,965345
2021-05-13,177892,8,2,1420866,966370
2021-05-14,190467,8,2,1516350,967310
2021-05-15,197784,8,2,1583351,968056
2021-05-16,200431,8,2,1618950,968069
2021-05-17,206742,8,2,1671869,968351
2021-05-18,211739,8,2,1735931,968828
2021-05-19,217025,8,2,1809118,971086
2021-05-20,220596,8,2,1890446,972928
2021-05-21,226952,8,2,2045654,974444
2021-05-22,231306,8,2,2171699,976388
2021-05-23,233095,8,2,2258758,977139
2021-05-24,238920,8,2,2374482,977673
2021-05-25,243741,8,2,2469622,979282
2021-05-26,247968,8,2,2559791,981057
2021-05-27,251365,8,2,2672087,982871
2021-05-28,257705,8,2,2817566,983631
2021-05-29,260578,8,2,2945722,984249
2021-05-30,261245,8,2,3010496,984277
2021-05-31,262720,8,2,3120427,985643
2021-06-01,264209,8,2,3232030,986475
2021-06-02,266565,8,2,3343674,987380
2021-06-03,269213,8,2,3405724,988374
2021-06-04,271262,8,2,3440587,989311
2021-06-05,271809,8,2,3460777,989896
2021-06-06,271956,8,2,3462803,989946
2021-06-07,273053,8,2,3492975,990254
2021-06-08,294853,8,2,3689457,990502
2021-06-09,323023,8,2,3868557,990792
2021-06-10,363920,8,2,4058391,991648
2021-06-11,401543,8,2,4246023,992897
2021-06-12,426392,8,2,4385950,993099
2021-06-13,436912,8,2,4459232,993734
2021-06-14,460385,8,2,4544971,999864
2021-06-15,478591,8,2,4640661,1017953
2021-06-16,493284,8,2,4732113,1027407
2021-06-17,506593,8,2,4855436,1032202
2021-06-18,518863,8,2,5013160,1037532
2021-06-19,525949,8,2,5116052,1042356
2021-06-20,527230,8,2,5147300,1043442
2021-06-21,534621,8,2,5242969,1053616
2021-06-22,546102,8,2,5362873,1064557
2021-06-23,554840,8,2,5473444,1074753
2021-06-24,563527,8,2,5539208,1086770
2021-06-25,571226,8,2,5649977,1096205
2021-06-26,575281,8,2,5723070,1101706
2021-06-27,578179,8,2,5769458,1103866
2021-06-28,584748,8,2,5811264,1112154
2021-06-29,591123,8,2,5903132,1115391
2021-06-30,597313,8,2,6076133,1119351
2021-07-01,601049,8,2,6271199,1123317
2021-07-02,604340,8,2,6469462,1130647
2021-07-03,608073,8,3,6657921,1136995
2021-07-04,609526,8,3,6789419,1140377
2021-07-05,612766,8,3,6965047,1150318
2021-07-06,616772,8,3,7133390,1192824
2021-07-07,623491,8,3,7269997,1222189
2021-07-08,634288,8,4,7402139,1239036
2021-07-09,643700,8,5,7538335,1258151
2021-07-10,651742,8,6,7777069,1280818
2021-07-11,655764,8,6,7950970,1284612
2021-07-12,666059,8,6,8035185,1297884
2021-07-13,677010,8,6,8120040,1314690
2021-07-14,688394,8,6,8231016,1342388
2021-07-15,697525,8,6,8389924,1375117
2021-07-16,704361,8,6,8549395,1438107
2021-07-17,709135,8,6,8777818,1514930
2021-07-18,711420,8,6,8908287,1561413
2021-07-19,715532,8,6,8974576,1589757
2021-07-20,719273,8,6,9032015,1632426
2021-07-21,722580,8,6,9134937,1686200
2021-07-22,726586,8,6,9258053,1754063
2021-07-23,730492,8,6,9410259,1847116
2021-07-24,733446,8,6,9699669,1944000
2021-07-25,735194,8,6,9960068,1990706
2021-07-26,737831,8,6,9988716,2037643
2021-07-27,740882,8,6,10191364,2088015
2021-07-28,742764,8,6,10291686,2102376
2021-07-29,744685,8,7,10342346,2115267
2021-07-30,747322,8,7,10469309,2152345
2021-07-31,749297,8,7,10702187,2194381
2021-08-01,750161,8,7,10893551,2212463
2021-08-02,752139,8,7,11018261,2235511
2021-08-03,754616,8,7,11121793,2269928
2021-08-04,756781,8,7,11231769,2320043
2021-08-05,759445,8,7,11341087,2381164
2021-08-06,761957,8,7,11452459,2553160
2021-08-07,765304,8,7,11626996,2873315
2021-08-08,767866,8,7,11786674,3074668
2021-08-09,770694,8,7,11831821,3132990
2021-08-10,778196,8,7,11881265,3201057
2021-08-11,784200,8,8,11939138,3257676
2021-08-12,789350,8,8,11991152,3319080
2021-08-13,794598,8,8,12033931,3389481
2021-08-14,799137,8,8,12191442,3462953
