,FECHA_CORTE,FECHA_VACUNACION,DOSIS,TOTAL,ACUMULADO
0,20210502,20210302,2,2073,2073
1,20210502,20210303,2,11958,14031
2,20210502,20210304,2,27110,41141
3,20210502,20210305,2,30631,71772
4,20210502,20210306,2,15191,86963
5,20210502,20210307,2,2113,89076
6,20210502,20210308,2,11771,100847
7,20210502,20210309,2,6736,107583
8,20210502,20210310,2,5159,112742
9,20210502,20210311,2,5425,118167
10,20210502,20210312,2,16455,134622
11,20210502,20210313,2,27336,161958
12,20210502,20210314,2,2696,164654
13,20210502,20210315,2,26901,191555
14,20210502,20210316,2,23041,214596
15,20210502,20210317,2,22781,237377
16,20210502,20210318,2,15978,253355
17,20210502,20210319,2,15407,268762
18,20210502,20210320,2,6365,275127
19,20210502,20210321,2,1022,276149
20,20210502,20210322,2,8230,284379
21,20210502,20210323,2,8706,293085
22,20210502,20210324,2,6905,299990
23,20210502,20210325,2,4670,304660
24,20210502,20210326,2,3890,308550
25,20210502,20210327,2,2812,311362
26,20210502,20210328,2,200,311562
27,20210502,20210329,2,12695,324257
28,20210502,20210330,2,20325,344582
29,20210502,20210331,2,17174,361756
30,20210502,20210401,2,4012,365768
31,20210502,20210402,2,2755,368523
32,20210502,20210403,2,5745,374268
33,20210502,20210404,2,437,374705
34,20210502,20210405,2,9116,383821
35,20210502,20210406,2,17381,401202
36,20210502,20210407,2,16338,417540
37,20210502,20210408,2,26840,444380
38,20210502,20210409,2,16317,460697
39,20210502,20210410,2,8438,469135
40,20210502,20210411,2,65,469200
41,20210502,20210412,2,12897,482097
42,20210502,20210413,2,16951,499048
43,20210502,20210414,2,17307,516355
44,20210502,20210415,2,20807,537162
45,20210502,20210416,2,20186,557348
46,20210502,20210417,2,12922,570270
47,20210502,20210418,2,3065,573335
48,20210502,20210419,2,3716,577051
49,20210502,20210420,2,3739,580790
50,20210502,20210421,2,8326,589116
51,20210502,20210422,2,2303,591419
52,20210502,20210423,2,2395,593814
53,20210502,20210424,2,2106,595920
54,20210502,20210425,2,76,595996
55,20210502,20210426,2,3158,599154
56,20210502,20210427,2,6473,605627
57,20210502,20210428,2,7446,613073
58,20210502,20210429,2,6722,619795
59,20210502,20210430,2,7702,627497
60,20210502,20210501,2,436,627933
61,20210502,20210502,2,666,628599
