DEPARTAMENTO,DISTRITO,POBLACION
PUNO,LAMPA,11308
PUNO,CABANILLA,5377
PUNO,CALAPUJA,1959
PUNO,NICASIO,2831
PUNO,OCUVIRI,2172
PUNO,PALCA,1863
PUNO,PARATIA,2220
PUNO,PUCARA,5440
PUNO,SANTA LUCIA,6473
PUNO,VILAVILA,998
PUNO,AYAVIRI,22621
PUNO,ANTAUTA,5156
PUNO,CUPI,1827
PUNO,LLALLI,2714
PUNO,MACARI,6462
PUNO,NUÑOA,8322
PUNO,ORURILLO,7609
PUNO,SANTA ROSA,5538
PUNO,UMACHIRI,3248
PUNO,MOHO,14390
PUNO,CONIMA,3429
PUNO,HUAYRAPATA,3332
PUNO,TILALI,2772
PUNO,PUTINA,14116
PUNO,ANANEA,4178
PUNO,PEDRO VILCA APAZA (Ayrampuni),1922
PUNO,QUILCAPUNCU,4777
PUNO,SINA,1527
PUNO,JULIACA,213592
PUNO,CABANA,4449
PUNO,CABANILLAS (Deustua),4385
PUNO,CARACOTO,9744
PUNO,SANDIA,10771
PUNO,CUYOCUYO,5648
PUNO,LIMBANI,2623
PUNO,PATAMBUCO,4475
PUNO,PHARA,4541
PUNO,QUIACA,2171
PUNO,SAN JUAN DEL ORO,3697
PUNO,YANAHUAYA,2031
PUNO,ALTO INAMBARI (Massiapo),5792
PUNO,YUNGUYO,23751
PUNO,ANAPIA,1083
PUNO,COPANI,4680
PUNO,CUTURAPI (San Juan de Cuturapi),1067
PUNO,OLLARAYA (San Miguel de Ollaraya),2217
PUNO,TINICACHI,642
PUNO,UNICACHI (Marcaja),1072
PUNO,SAN MIGUEL,23761
UCAYALI,CALLARIA (Pucallpa),149723
UCAYALI,CAMPOVERDE,15986
UCAYALI,IPARIA,12588
UCAYALI,MASISEA,13031
UCAYALI,YARINACOCHA (Puerto Callao),92639
UCAYALI,NUEVA REQUENA,6270
UCAYALI,RAYMONDI,33044
UCAYALI,SEPAHUA,6246
UCAYALI,TAHUANIA (Bolognesi),9055
UCAYALI,YURUA,1883
UCAYALI,PADRE ABAD (Aguaytía),29131
UCAYALI,IRAZOLA (San Alejandro),12627
UCAYALI,CURIMANA,9405
UCAYALI,PURUS (Esperanza),3793
